abfahren
ankommen
arbeiten
aufstehen
ausgehen
benutzen
bevorzugen
bleiben
brechen
diskutieren
essen
gehen
herunterladen
hören
kaufen
kommen
können
legen, setzen, stellen
lernen
lieben
machen
mögen
müssen
öffnen
rennen
sagen
schlafen
schließen
schreiben
sehen
sein
sein / sich befinden
sich waschen
sollen
telefonieren
trinken
verkaufen
verstehen
verteilen
warten
waschen
wissen
zuhören
zurückkehren
zu Abend essen
